title,milestone,labels,body
"[1.2] Implement hero section","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Replace the current homepage hero with the editorial hero: headline, dek, single CTA, no gradient buttons.

## Context
First visual a recruiter sees. Highest-impact change in Epic 1. Blocks #1.4 (work preview, which sits below this).

## Scope — in
- Modify `app/(v2)/page.tsx` (hero section only)
- Create `components/home/hero-headline.tsx`
- Create `components/home/availability-pill.tsx`
- Create `components/home/hero-cta.tsx`
- All Server Components

## Scope — out
- Do NOT touch about/work/writing sections (separate issues)
- Do NOT add the floating WhatsApp button (being removed)

## Acceptance criteria
- [ ] Headline renders in Instrument Serif at `clamp(56px, 10vw, 160px)`
- [ ] Italic accent words use `--accent` token
- [ ] Single CTA ""See selected work →"" anchors to `#work`
- [ ] Resume link is a secondary text link in mono caption below CTA
- [ ] Availability pill has green pulsing dot (`#4ade80` — keep green, semantic)
- [ ] Hero sub-grid collapses to single column at < 1100px
- [ ] Lighthouse mobile ≥ 90 on `/v2`
- [ ] No client JS added — section is fully RSC

## Reference materials
- Mockup section: `/mockups/homepage-v2-pink.html` → `.hero` block"
"[1.3] Implement about section","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Build the about section: portrait on the left, editorial text on the right, 6+ years typography stat, meta rows, single CTA.

## Context
Replaces the current ""SOBRE MÍ"" section with its gradient title and purple ""6+ YEARS OF Experience"" badge. The new treatment uses typography for the stat instead of a badge.

## Scope — in
- Create `components/home/about-section.tsx`
- Create `components/home/portrait.tsx` — accepts `src` prop for actual photo
- Use `next/image` with the photo cropped to 4:5 aspect
- `6+` stat: italic serif 64px in accent color
- Single CTA ""Read the full track record →"" links to `/v2/experience` (will exist after Epic 4)

## Scope — out
- Do NOT use a gradient frame on the portrait
- Do NOT use the purple ""6+ YEARS OF Experience"" badge
- Do NOT add social icons here — they belong in the contact section

## Acceptance criteria
- [ ] Portrait uses `next/image` with explicit `sizes` prop
- [ ] 4:5 aspect ratio enforced via `aspect-ratio` CSS
- [ ] Photo has 1px `--rule` border, no rounded corners > 2px
- [ ] About-stat block matches mockup typography
- [ ] Meta rows (based in / working / languages) in mono caption
- [ ] CTA link goes to `/v2/experience` (placeholder page OK if not built yet)
- [ ] Mobile: grid collapses to single column at < 1100px

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `.about-grid` block"
"[1.4] Implement work preview rows (3 featured projects)","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Build the 3-row work preview section that pulls from `_data/projects/*.mdx` filtered to `tier: 'hero' || tier: 'production'`.

## Context
This replaces the 2×2 bento grid. Each row is one-line title + dek + stack + metric + arrow, linking to `/v2/work/[slug]`. Depends on #0.4 (MDX pipeline) and #1.2 (hero — same anchor target).

## Scope — in
- Create `components/home/work-preview.tsx` (Server Component)
- Create `components/home/work-preview-row.tsx` (Server Component)
- Fetch projects via `getAllProjects()` from #0.4
- Filter and sort by `order` field
- Use `<Link prefetch>` to `/v2/work/[slug]` (route exists in Epic 2 — OK to link to 404 for now)
- Hover state: 8px manicule slide-in on left, accent-soft on title, arrow translateX

## Scope — out
- Do NOT build the `/v2/work/[slug]` detail pages (Epic 2)
- Do NOT build the `/v2/work` index (Epic 2)

## Acceptance criteria
- [ ] Renders exactly 3 rows (hero + first 2 production)
- [ ] Each row links to `/v2/work/[slug]` with prefetch
- [ ] Hover manicule animation is CSS-only (no JS)
- [ ] Stack and metric column hidden below 1100px (mockup behavior)
- [ ] Footer link ""Read all case studies →"" goes to `/v2/work`
- [ ] Grid pulls from MDX, not hardcoded — verify by adding a 4th project and confirming it doesn't render

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `.work-preview-grid` block
- Frontmatter contract: see #0.4 acceptance criteria"
"[1.5] Implement writing preview (1 featured + 3 recent)","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Build the asymmetric 2/3 + 1/3 writing preview: featured essay on the left, three recent essays in compact format on the right.

## Context
Demonstrates you write seriously *and* often, in 4 seconds of scan time. Depends on #0.4 and the essays MDX folder.

## Scope — in
- Create `components/home/writing-preview.tsx`
- Create `components/home/featured-essay-card.tsx`
- Create `components/home/essay-list-item.tsx`
- Fetch via `getAllEssays()`, select featured (`featured: true`) + 3 most recent
- Each item links to `/v2/writing/[slug]`

## Scope — out
- Do NOT build `/v2/writing` archive (Epic 3)
- Do NOT build `/v2/writing/[slug]` detail pages (Epic 3)

## Acceptance criteria
- [ ] Featured essay rendered with 48px italic serif title
- [ ] Three recent essays in compact list with date + title
- [ ] Border-right divider between columns; collapses to stacked at < 1100px
- [ ] All links use `<Link prefetch>`
- [ ] If no essays exist in MDX, render a graceful empty state (small mono caption ""— first essay coming soon"")

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `.writing-preview` block"
"[1.6] Implement contact section","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Replace the two gradient CTA blocks (¿Te gustó lo que viste? + Hablemos calendar) with a single editorial contact section.

## Context
This is the conversion endpoint. Single primary CTA (Book a 30-min call) weighted as italic serif; secondary contacts as mono text links on the same line. Cultural caveat: WhatsApp stays as a contact option with `(LATAM)` annotation.

## Scope — in
- Create `components/home/contact-section.tsx`
- Italic serif headline + sans dek + horizontal links row
- Contact links: Book a 30-min call (primary) · email · linkedin · github · whatsapp (LATAM)
- Bottom microcopy: time zone, response time, no-recruiter-spam line
- Real calendar booking link in env var `NEXT_PUBLIC_CALENDAR_URL`

## Scope — out
- Do NOT add a contact form (use external calendar / email)
- Do NOT add a floating WhatsApp button anywhere
- Do NOT use any pink-cyan-purple gradient

## Acceptance criteria
- [ ] Single primary CTA, 4 secondary text links
- [ ] No buttons, no gradient backgrounds
- [ ] Booking link from env var (with safe fallback to `mailto:`)
- [ ] Mobile: links stack vertically with proper gap
- [ ] Vertical accent line above section (`.contact::before` in mockup)

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `.contact` section"
"[1.7] Implement footer with colophon","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Build the typographic footer with build credits, last-updated date, GitHub source link, and secondary nav.

## Context
Senior engineers read colophons. Linking the GitHub source of the portfolio is the ultimate flex — dares the recruiter to evaluate your code.

## Scope — in
- Create `components/site/footer.tsx`
- Render in `app/(v2)/layout.tsx` (below main content)
- Two columns: colophon (left), secondary nav (right)
- `Last updated` date pulled from build-time env var or git commit timestamp

## Scope — out
- Do NOT add social icons here — they live in contact section
- Do NOT add newsletter signup (separate concern)

## Acceptance criteria
- [ ] Colophon shows: name, build stack (Next.js 15 · Instrument Serif & Geist · Vercel), last updated, GitHub source link
- [ ] Secondary nav: Work · Writing · About · Contact · RSS
- [ ] All in mono caption font
- [ ] Mobile: stacks to single column at < 900px
- [ ] ""Last updated"" reflects actual build date (env var or git)

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `<footer>`"
"[1.8] Remove old gradient CTA blocks + floating WhatsApp from legacy route","Epic 1 — Homepage","claude-code,type: refactor,surface: homepage","## Goal
Once `/v2` homepage is feature-complete, clean up the legacy `/` homepage to remove the gradient CTA blocks and floating WhatsApp.

## Context
NOT a cutover — the legacy `/` still works as the live site until Epic 6. But removing the WhatsApp bubble and gradient blocks is a low-risk cleanup that improves the live site immediately.

## Scope — in
- Remove `Hablemos` CTA gradient block from legacy homepage
- Remove `Agendar una llamada` gradient block from legacy homepage
- Remove floating WhatsApp button component
- Replace with a single quiet ""Contact"" link routed to `mailto:` (or existing contact page) — minimum viable, just to keep the conversion path alive

## Scope — out
- Do NOT redesign the legacy homepage (it's getting retired in Epic 6 anyway)
- Do NOT remove other CTAs yet (those are in Epic 6 cutover)

## Acceptance criteria
- [ ] Live `/` no longer shows the two gradient CTA blocks
- [ ] Floating WhatsApp button removed from all pages
- [ ] Single ""Contact"" link still present (no dead-end UX)
- [ ] Site builds and deploys without errors"
"[EPIC 2] Selected Work","Epic 2 — Selected Work","epic,type: feat,surface: work","## Epic goal
Build `/v2/work` index page + `/v2/work/[slug]` case study detail pages. Write three real case studies. This is the conversion page.

## Definition of done
- `/v2/work` renders hero + 2 production + archive index
- Three case study detail pages exist with 1200–1800 words each
- Inline SVG diagram for hero project (ACO-Firefly)
- Mock screenshots replaced with real `next/image` assets where possible
- All linked from homepage via Epic 1

## Sub-issues
- [ ] [2.1] Implement `/v2/work` page shell
- [ ] [2.2] Implement hero case study layout
- [ ] [2.3] Build inline SVG diagram for hero project (ACO-Firefly)
- [ ] [2.4] Implement production-row layout (split-row, alternating)
- [ ] [2.5] Implement screenshot components (real or styled mocks)
- [ ] [2.6] Implement archive index rows
- [ ] [2.7] Write case study #1 (ACO-Firefly hero) — `needs-writing`
- [ ] [2.8] Write case study #2 (Fin) — `needs-writing`
- [ ] [2.9] Write case study #3 (Auto Parts ID) — `needs-writing`
- [ ] [2.10] Implement `/v2/work/[slug]` case study detail page layout"
"[2.1] Implement /v2/work page shell","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the top-level `/v2/work` index page shell — eyebrow, headline, preamble, footer note.

## Scope — in
- Create `app/(v2)/work/page.tsx` (Server Component)
- Eyebrow: § 02 · Selected Work
- Headline: ""Twelve projects. Three worth defending.""
- Preamble: italic serif sub-statement
- Footer note: editorial italic serif paragraph

## Scope — out
- Do NOT build hero case study layout (issue #2.2)
- Do NOT build rows yet

## Acceptance criteria
- [ ] Matches mockup `/mockups/work-mockup.html` top + footer sections
- [ ] All typography uses tokens
- [ ] Page renders even when `_data/projects` is empty (graceful fallback)

## Reference materials
- Mockup: `/mockups/work-mockup.html` → `.eyebrow` + `.title-row` + `.work-footnote`"
"[2.2] Implement hero case study layout","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the two-column hero case study block (text + diagram column) for the single `tier: 'hero'` project.

## Scope — in
- Create `components/work/hero-case-study.tsx`
- Render on `/v2/work` page below shell
- Two-column grid: text left, diagram (or hero image) right
- Text column: title, subtitle, context strip, intro paragraphs, 3 metrics, stack, links row
- Marginalia (""the piece I'd lead an interview with"") rotated annotation

## Scope — out
- Do NOT build the SVG diagram (#2.3)
- Do NOT build case-study detail page rendering (#2.10)

## Acceptance criteria
- [ ] Enforces exactly one `tier: 'hero'` project (throws at build if not)
- [ ] Three metrics use italic serif with accent color
- [ ] Marginalia hidden below 1100px
- [ ] Two-column collapses at < 1100px

## Reference materials
- Mockup: `/mockups/work-mockup.html` → `.hero-case` block"
"[2.3] Build inline SVG diagram for hero project (ACO-Firefly)","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the inline SVG architecture diagram that replaces the broken-image placeholder. Shows hierarchical structure: Layer 01 (ACO ants with pheromone trails) → Layer 02 (firefly clusters) → final signature output.

## Context
This is the killer differentiator — proves you can do novel work, not just card layouts. Rendered server-side as inline SVG: zero JS, scales to any device, ships effectively zero bytes beyond the markup.

## Scope — in
- Create `components/work/diagrams/aco-firefly-diagram.tsx` (Server Component)
- Inline SVG, no external assets
- All colors from design tokens
- Caption below: small monospace explanation

## Scope — out
- Do NOT use a library like d3 (overkill, ships JS)
- Do NOT use rendered images

## Acceptance criteria
- [ ] Renders identically across all browsers and device sizes (`viewBox` based)
- [ ] Uses only `--ink-dim`, `--accent`, `--accent-soft` for colors
- [ ] Zero JS shipped
- [ ] Matches mockup `/mockups/work-mockup.html` `.hero-diagram svg` exactly (copy-paste OK, then refactor into JSX)

## Reference materials
- Mockup: `/mockups/work-mockup.html` → SVG block inside `.hero-diagram`"
"[2.4] Implement production-row layout (split-row, alternating)","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the alternating 60/40 split-row layout for the 2 production projects (Fin, Auto Parts ID).

## Scope — in
- Create `components/work/production-row.tsx`
- Accepts `flipped` prop to alternate left/right
- Text column: number tag, italic serif title, italic serif dek, body paragraph, metric row, stack, links
- Image column: `next/image` or mock screenshot component (issue #2.5)
- Renders all `tier: 'production'` projects

## Scope — out
- Do NOT zig-zag between far left and far right (mockup uses `.flipped` for column order only, content stays full-width)

## Acceptance criteria
- [ ] Two rows rendered (Fin, Auto Parts ID — both `tier: 'production'`)
- [ ] Alternating layout (first standard, second flipped)
- [ ] Metric row in mono with accent-color values in italic serif
- [ ] Mobile: collapses to stacked single column

## Reference materials
- Mockup: `/mockups/work-mockup.html` → `.prod-row` and `.prod-row.flipped`"
"[2.5] Implement screenshot components (real or styled mocks)","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the screenshot components — either real `next/image` for projects with screenshots, or styled mock components for projects without.

## Context
Fin and Auto Parts ID don't have great screenshots yet. The mockup uses styled inline HTML components that demonstrate the product (USD→ARS conversion comparison, parts catalog grid). These are honest placeholders that *demonstrate the work*.

## Scope — in
- Create `components/work/screenshots/browser-frame.tsx` — generic frame with mock URL bar
- Create `components/work/screenshots/fin-currency-mock.tsx` — IEEE 754 vs Fin engine comparison
- Create `components/work/screenshots/parts-catalog-mock.tsx` — brake-system catalog grid
- All Server Components, no JS

## Scope — out
- Do NOT use the broken-image placeholder anywhere
- Do NOT use stock photos

## Acceptance criteria
- [ ] All components render at 16:10 aspect ratio
- [ ] All use design tokens for colors
- [ ] Browser frame has 3 dots + mock URL in mono
- [ ] When you have real screenshots, swap-in is a single prop change

## Reference materials
- Mockup: `/mockups/work-mockup.html` → `.prod-image.fin` and `.prod-image.parts`"
"[2.6] Implement archive index rows","Epic 2 — Selected Work","claude-code,type: feat,surface: work","## Goal
Build the typographic archive index for `tier: 'archive'` projects — single-line entries with date + title + description + external links.

## Scope — in
- Create `components/work/archive-row.tsx`
- Renders all `tier: 'archive'` projects
- Hover manicule animation (8px slide-in)
- Optional `→ case study` link if `hasCaseStudy: true`

## Acceptance criteria
- [ ] Reuses pattern from writing archive (issue #3.3) if already built
- [ ] CSS-only hover animation
- [ ] Grid collapses to mobile-friendly stacked layout below 900px

## Reference materials
- Mockup: `/mockups/work-mockup.html` → `.archive-row`"
"[2.7] Write case study #1 — ACO-Firefly hero project","Epic 2 — Selected Work","needs-writing,type: content,surface: work","## Goal
Write the full case study for the hero project. 1200–1800 words of long-form prose, MDX-authored.

## Context
This is the conversion-critical piece of writing on the entire portfolio. It must read like a senior engineer's working notebook, not an academic abstract. **This is a writing task you do yourself** — do not hand to Claude Code.

## Scope — in
- Create `app/(v2)/_data/projects/aco-firefly-genomic.mdx`
- Frontmatter per #0.4 contract
- Body structure:
  1. The problem in human English (high-dim oncology data, instability)
  2. Why standard methods fail
  3. The hybridization idea + why hierarchical
  4. Implementation choices + tradeoffs
  5. Results + what generalizes
  6. What I'd do differently
- Embed the SVG diagram component (#2.3) inline

## Scope — out
- Do NOT use ""is designed as,"" ""according to keywords,"" or other LLM-template phrases
- Do NOT bullet-point the whole essay; prose with restraint

## Acceptance criteria
- [ ] 1200–1800 words
- [ ] Written in first person, present-leaning past tense
- [ ] At least 2 embedded code or formula snippets
- [ ] Inline diagram embedded
- [ ] No AI-template-tells (run it past a senior friend if uncertain)
- [ ] Spell-checked and proofread"
